time,channel,band,power
18.4609375,AF7,delta,2.3285143292152335
18.546875,AF7,delta,2.1856960355629043
18.6328125,AF7,delta,1.98501368370458
18.71875,AF7,delta,1.8074655471747576
18.8046875,AF7,delta,1.5993041647535908
18.890625,AF7,delta,1.458370317083369
18.9765625,AF7,delta,1.6356427581582484
19.0625,AF7,delta,1.776649963761993
19.1484375,AF7,delta,1.9376224865495846
19.234375,AF7,delta,2.0717135766823813
19.3203125,AF7,delta,2.1453293443465395
19.40625,AF7,delta,2.187774269713231
19.4921875,AF7,delta,2.232741106185481
19.578125,AF7,delta,2.2544520406572746
19.6640625,AF7,delta,2.2181254661832277
19.75,AF7,delta,2.291980680517961
19.8359375,AF7,delta,2.5820634742089297
19.921875,AF7,delta,2.8841455613723195
20.0078125,AF7,delta,3.0463886598425662
20.09375,AF7,delta,3.127666025307526
20.1796875,AF7,delta,3.2542285807952225
20.265625,AF7,delta,3.5648483215430953
20.3515625,AF7,delta,3.7445551832332455
20.4375,AF7,delta,3.8783516909345517
20.5234375,AF7,delta,4.131875618709717
0.5,AF7,theta,1.4502738393240104
0.5859375,AF7,theta,1.373992468391691
0.671875,AF7,theta,1.4023112093635965
0.7578125,AF7,theta,1.526471250449427
0.84375,AF7,theta,1.5989471477667148
0.9296875,AF7,theta,1.6846498685616276
1.015625,AF7,theta,1.715711282355886
1.1015625,AF7,theta,1.7755177296914693
1.1875,AF7,theta,1.7935492457744273
1.2734375,AF7,theta,1.7676811792463059
1.359375,AF7,theta,1.7036797343032448
1.4453125,AF7,theta,1.865392710554218
1.53125,AF7,theta,2.1752148689121937
1.6171875,AF7,theta,2.3946678814758977
1.703125,AF7,theta,2.5419505283027206
1.7890625,AF7,theta,2.6978661373629094
1.875,AF7,theta,2.901258892596883
1.9609375,AF7,theta,3.071668562700821
2.046875,AF7,theta,3.1612657289579977
2.1328125,AF7,theta,3.1482988609211593
2.21875,AF7,theta,3.0351566403181565
2.3046875,AF7,theta,2.836001877034705
2.390625,AF7,theta,2.608298054840147
2.4765625,AF7,theta,2.4427353194341137
2.5625,AF7,theta,2.365440044672155
2.6484375,AF7,theta,2.295953910005662
2.734375,AF7,theta,2.280446025213837
2.8203125,AF7,theta,2.2929343698071403
2.90625,AF7,theta,2.3287742138502145
2.9921875,AF7,theta,2.3085093003052717
3.078125,AF7,theta,2.2826656082587578
3.1640625,AF7,theta,2.4007426063565136
3.25,AF7,theta,2.708433747711628
3.3359375,AF7,theta,2.982212823466625
3.421875,AF7,theta,3.1395095508431226
3.5078125,AF7,theta,3.1761580459330423
3.59375,AF7,theta,3.092002570380966
3.6796875,AF7,theta,2.8814405041405093
3.765625,AF7,theta,2.5345151617081325
3.8515625,AF7,theta,2.0525192442423097
3.9375,AF7,theta,1.6389320274643118
4.0234375,AF7,theta,1.476158901807483
4.109375,AF7,theta,1.5021087611218855
4.1953125,AF7,theta,1.5281443627089395
4.28125,AF7,theta,1.5135751083061078
4.3671875,AF7,theta,1.542295671350553
4.453125,AF7,theta,1.63247809292477
4.5390625,AF7,theta,1.7232282114272315
4.625,AF7,theta,1.7627729691562177
4.7109375,AF7,theta,1.7453707765671105
4.796875,AF7,theta,1.7044029792894382
4.8828125,AF7,theta,1.6715746209842615
4.96875,AF7,theta,1.646126197712475
5.0546875,AF7,theta,1.5771313197249879
5.140625,AF7,theta,1.467600530231489
5.2265625,AF7,theta,1.3197159526958822
5.3125,AF7,theta,1.2374457279770128
5.3984375,AF7,theta,1.2566269078439172
5.484375,AF7,theta,1.2853492721448345
5.5703125,AF7,theta,1.2957150081004596
5.65625,AF7,theta,1.2889044287081173
5.7421875,AF7,theta,1.3257498809608588
5.828125,AF7,theta,1.3746216439781738
5.9140625,AF7,theta,1.3855663535489042
6.0,AF7,theta,1.333311749929041
6.0859375,AF7,theta,1.2151097256838927
6.171875,AF7,theta,1.0264872094241073
6.2578125,AF7,theta,0.8088761301620034
6.34375,AF7,theta,0.591782686525786
6.4296875,AF7,theta,0.461524117900858
6.515625,AF7,theta,0.5366042542343296
6.6015625,AF7,theta,0.7192342454498243
6.6875,AF7,theta,0.8560244593982226
6.7734375,AF7,theta,0.9484677837147267
6.859375,AF7,theta,0.9814555100158788
6.9453125,AF7,theta,0.9663532469443757
7.03125,AF7,theta,0.9171934314605437
7.1171875,AF7,theta,0.8924770959059046
7.203125,AF7,theta,0.9737659688019991
7.2890625,AF7,theta,1.1252515387038855
7.375,AF7,theta,1.2587362059683198
7.4609375,AF7,theta,1.3510316219633185
7.546875,AF7,theta,1.3846645159980564
7.6328125,AF7,theta,1.3853302274978125
7.71875,AF7,theta,1.3255329713127904
7.8046875,AF7,theta,1.2188053730476727
7.890625,AF7,theta,1.0508657507165862
7.9765625,AF7,theta,0.8421147349582421
8.0625,AF7,theta,0.6972180508785993
8.1484375,AF7,theta,0.6251919439438444
8.234375,AF7,theta,0.6623654390094268
8.3203125,AF7,theta,0.7808068909424946
8.40625,AF7,theta,0.970656255246029
8.4921875,AF7,theta,1.172603919772247
8.578125,AF7,theta,1.3331018520699733
8.6640625,AF7,theta,1.4354987970886983
8.75,AF7,theta,1.4746660981640396
8.8359375,AF7,theta,1.463945470910438
8.921875,AF7,theta,1.4192604034747138
9.0078125,AF7,theta,1.443946544536504
9.09375,AF7,theta,1.5168265335581592
9.1796875,AF7,theta,1.8230404481698996
9.265625,AF7,theta,2.1274556010852868
9.3515625,AF7,theta,2.340887776573034
9.4375,AF7,theta,2.4566541752029547
9.5234375,AF7,theta,2.4704036900982094
9.609375,AF7,theta,2.4023155948485413
9.6953125,AF7,theta,2.2474345463463674
9.78125,AF7,theta,2.035765405059928
9.8671875,AF7,theta,1.8066190150976273
9.953125,AF7,theta,1.6191539426113954
10.0390625,AF7,theta,1.4398120101089207
10.125,AF7,theta,1.2994303814770913
10.2109375,AF7,theta,1.1938782723285335
10.296875,AF7,theta,1.135311798480839
10.3828125,AF7,theta,1.2265663767310522
10.46875,AF7,theta,1.3976088977703611
10.5546875,AF7,theta,1.5079123141364799
10.640625,AF7,theta,1.5665587236416232
10.7265625,AF7,theta,1.562601514966831
10.8125,AF7,theta,1.4973132103845659
10.8984375,AF7,theta,1.387288127584939
10.984375,AF7,theta,1.2673497213614593
11.0703125,AF7,theta,1.1745925297141562
11.15625,AF7,theta,1.2306601760062459
11.2421875,AF7,theta,1.3156293570094657
11.328125,AF7,theta,1.3931933827508374
11.4140625,AF7,theta,1.4043647052001509
11.5,AF7,theta,1.3479176875557217
11.5859375,AF7,theta,1.2437209496108552
11.671875,AF7,theta,1.1329787210084639
11.7578125,AF7,theta,1.0582267675431007
11.84375,AF7,theta,1.0321062461047623
11.9296875,AF7,theta,1.0474676005054002
12.015625,AF7,theta,1.0588403082251197
12.1015625,AF7,theta,1.0370428771341456
12.1875,AF7,theta,0.9841857761759295
12.2734375,AF7,theta,0.974093859920127
12.359375,AF7,theta,1.105827587213097
12.4453125,AF7,theta,1.2821999646189937
12.53125,AF7,theta,1.4079038859795894
12.6171875,AF7,theta,1.4608931250694315
12.703125,AF7,theta,1.4526774043176105
12.7890625,AF7,theta,1.3965723880015275
12.875,AF7,theta,1.3127120360786217
12.9609375,AF7,theta,1.195752994940638
13.046875,AF7,theta,1.070923475279768
13.1328125,AF7,theta,0.9386348630902834
13.21875,AF7,theta,0.9580439299318007
13.3046875,AF7,theta,1.1184990636360934
13.390625,AF7,theta,1.2506575555722448
13.4765625,AF7,theta,1.3279585612694358
13.5625,AF7,theta,1.3166737010591822
13.6484375,AF7,theta,1.2206684905666232
13.734375,AF7,theta,1.0622233292579908
13.8203125,AF7,theta,0.8256486118064872
13.90625,AF7,theta,0.6633776059344755
13.9921875,AF7,theta,0.565935750293809
14.078125,AF7,theta,0.6563845753062377
14.1640625,AF7,theta,0.7406268525733269
14.25,AF7,theta,0.7961580206331802
14.3359375,AF7,theta,0.8437263786262305
14.421875,AF7,theta,0.8769652414137268
14.5078125,AF7,theta,0.900532431514715
14.59375,AF7,theta,0.9150058054963311
14.6796875,AF7,theta,0.9223422869308895
14.765625,AF7,theta,0.9076780705368254
14.8515625,AF7,theta,0.8863486721293958
14.9375,AF7,theta,0.8543366381278558
15.0234375,AF7,theta,0.81212382655049
15.109375,AF7,theta,0.722611846307181
15.1953125,AF7,theta,0.6544554510883189
15.28125,AF7,theta,0.8815190811373365
15.3671875,AF7,theta,1.475323988073305
15.453125,AF7,theta,1.9989538356310703
15.5390625,AF7,theta,2.3952018257735035
15.625,AF7,theta,2.660198672631544
15.7109375,AF7,theta,2.8243912449504647
15.796875,AF7,theta,2.8904195058955713
15.8828125,AF7,theta,2.89027205804122
15.96875,AF7,theta,2.823212543428025
16.0546875,AF7,theta,2.7157198830362175
16.140625,AF7,theta,2.5879481093765784
16.2265625,AF7,theta,2.4465205393485934
16.3125,AF7,theta,2.30266227403225
16.3984375,AF7,theta,2.1051157786098926
16.484375,AF7,theta,1.8927690753185498
16.5703125,AF7,theta,1.710334058758262
16.65625,AF7,theta,1.6520732995911178
16.7421875,AF7,theta,1.599678732843949
16.828125,AF7,theta,1.505476842852995
16.9140625,AF7,theta,1.2794296737384416
17.0,AF7,theta,0.9535691964503512
17.0859375,AF7,theta,0.7834114519726444
17.171875,AF7,theta,1.1305557054571
17.2578125,AF7,theta,1.5325641360673683
17.34375,AF7,theta,1.8052532331698263
17.4296875,AF7,theta,1.9598103203533035
17.515625,AF7,theta,1.9992352857269216
17.6015625,AF7,theta,1.9398484659640707
17.6875,AF7,theta,1.7950038493079294
17.7734375,AF7,theta,1.6068041038478165
17.859375,AF7,theta,1.4688692535902808
17.9453125,AF7,theta,1.3462953126641297
18.03125,AF7,theta,1.2446487281767862
18.1171875,AF7,theta,1.1984893383266222
18.203125,AF7,theta,1.3439214346108856
18.2890625,AF7,theta,1.5718707207142197
18.375,AF7,theta,1.7185587718459654
