unix_ms,lsl_unix_ts,PPG1,PPG2,PPG3
1767829404975,1767829404.9569218,555.0,118206.0,57581.0
1767829404975,1767829404.9569376,554.0,118178.0,57599.0
1767829404975,1767829404.956953,555.0,118208.0,57565.0
1767829404975,1767829404.9569688,556.0,118302.0,57615.0
1767829404975,1767829404.9569843,556.0,118103.0,57594.0
1767829405065,1767829405.0609064,556.0,118280.0,57601.0
1767829405065,1767829405.060922,556.0,118152.0,57594.0
1767829405065,1767829405.0609376,555.0,118199.0,57597.0
1767829405065,1767829405.0609531,554.0,118179.0,57585.0
1767829405065,1767829405.0609689,553.0,118280.0,57603.0
1767829405065,1767829405.0609844,553.0,118187.0,57597.0
1767829405154,1767829405.1519063,555.0,118158.0,57591.0
1767829405154,1767829405.1519217,554.0,118293.0,57618.0
1767829405154,1767829405.1519375,554.0,118209.0,57615.0
1767829405154,1767829405.151953,555.0,118333.0,57634.0
1767829405154,1767829405.1519687,555.0,118249.0,57625.0
1767829405154,1767829405.1519842,553.0,118218.0,57616.0
1767829405249,1767829405.2409062,552.0,118178.0,57629.0
1767829405249,1767829405.2409217,553.0,118259.0,57618.0
1767829405249,1767829405.2409375,555.0,118297.0,57635.0
1767829405249,1767829405.240953,555.0,118298.0,57627.0
1767829405249,1767829405.2409687,557.0,118267.0,57636.0
1767829405249,1767829405.2409842,554.0,118336.0,57634.0
1767829405347,1767829405.3329062,554.0,118221.0,57622.0
1767829405347,1767829405.3329217,555.0,118314.0,57632.0
1767829405347,1767829405.3329375,555.0,118288.0,57634.0
1767829405347,1767829405.332953,556.0,118320.0,57578.0
1767829405347,1767829405.3329687,555.0,118272.0,57591.0
1767829405347,1767829405.3329842,555.0,118231.0,57604.0
1767829405439,1767829405.4369063,555.0,118183.0,57593.0
1767829405439,1767829405.4369218,554.0,118190.0,57582.0
1767829405439,1767829405.4369376,557.0,118264.0,57588.0
1767829405439,1767829405.436953,553.0,118263.0,57572.0
1767829405439,1767829405.4369688,555.0,118287.0,57613.0
1767829405439,1767829405.4369843,557.0,118201.0,57592.0
1767829405533,1767829405.5269063,556.0,118205.0,57600.0
1767829405533,1767829405.5269217,557.0,118286.0,57576.0
1767829405533,1767829405.5269375,555.0,118180.0,57571.0
1767829405533,1767829405.526953,555.0,118210.0,57614.0
1767829405533,1767829405.5269687,555.0,118102.0,57597.0
1767829405533,1767829405.5269842,556.0,118244.0,57592.0
1767829405618,1767829405.6169064,555.0,118147.0,57589.0
1767829405618,1767829405.616922,556.0,118108.0,57587.0
1767829405618,1767829405.6169376,557.0,118234.0,57600.0
1767829405618,1767829405.6169531,556.0,118244.0,57612.0
1767829405618,1767829405.6169689,557.0,118257.0,57595.0
1767829405618,1767829405.6169844,555.0,118197.0,57592.0
1767829405727,1767829405.7069063,556.0,118157.0,57584.0
1767829405727,1767829405.7069218,555.0,118257.0,57586.0
1767829405727,1767829405.7069376,556.0,118309.0,57612.0
1767829405727,1767829405.706953,557.0,118147.0,57603.0
1767829405727,1767829405.7069688,555.0,118316.0,57622.0
1767829405727,1767829405.7069843,556.0,118305.0,57622.0
1767829405812,1767829405.8009064,556.0,118284.0,57607.0
1767829405812,1767829405.800922,556.0,118294.0,57634.0
1767829405812,1767829405.8009377,556.0,118273.0,57602.0
1767829405812,1767829405.8009531,556.0,118278.0,57623.0
1767829405812,1767829405.800969,555.0,118231.0,57634.0
1767829405812,1767829405.8009844,558.0,118337.0,57619.0
1767829405903,1767829405.9019063,555.0,118246.0,57635.0
1767829405903,1767829405.9019217,558.0,118310.0,57617.0
1767829405903,1767829405.9019375,556.0,118236.0,57631.0
1767829405903,1767829405.901953,559.0,118334.0,57654.0
1767829405903,1767829405.9019687,558.0,118318.0,57625.0
1767829405903,1767829405.9019842,559.0,118311.0,57624.0
1767829405997,1767829405.9919064,559.0,118439.0,57623.0
1767829405997,1767829405.991922,558.0,118297.0,57623.0
1767829405997,1767829405.9919376,557.0,118262.0,57617.0
1767829405997,1767829405.9919531,559.0,118313.0,57640.0
1767829405997,1767829405.9919689,559.0,118342.0,57611.0
1767829405997,1767829405.9919844,558.0,118305.0,57589.0
1767829406100,1767829406.0819063,559.0,118345.0,57622.0
1767829406100,1767829406.0819218,558.0,118259.0,57594.0
1767829406100,1767829406.0819376,559.0,118337.0,57590.0
1767829406100,1767829406.081953,560.0,118344.0,57603.0
1767829406100,1767829406.0819688,558.0,118336.0,57619.0
1767829406100,1767829406.0819843,557.0,118217.0,57564.0
1767829406190,1767829406.1869063,558.0,118349.0,57586.0
1767829406190,1767829406.1869218,557.0,118245.0,57634.0
1767829406190,1767829406.1869376,557.0,118307.0,57608.0
1767829406190,1767829406.186953,557.0,118257.0,57573.0
1767829406190,1767829406.1869688,558.0,118343.0,57610.0
1767829406190,1767829406.1869843,557.0,118304.0,57642.0
1767829406279,1767829406.2769063,558.0,118306.0,57577.0
1767829406279,1767829406.2769217,558.0,118373.0,57658.0
1767829406279,1767829406.2769375,559.0,118329.0,57587.0
1767829406279,1767829406.276953,560.0,118351.0,57602.0
1767829406279,1767829406.2769687,560.0,118364.0,57614.0
1767829406279,1767829406.2769842,558.0,118325.0,57621.0
1767829406371,1767829406.3679063,556.0,118280.0,57593.0
1767829406371,1767829406.3679218,559.0,118272.0,57594.0
1767829406371,1767829406.3679376,558.0,118265.0,57621.0
1767829406371,1767829406.367953,559.0,118355.0,57618.0
1767829406371,1767829406.3679688,559.0,118366.0,57628.0
1767829406371,1767829406.3679843,559.0,118401.0,57625.0
1767829406477,1767829406.4569063,558.0,118342.0,57606.0
1767829406477,1767829406.4569218,558.0,118312.0,57629.0
1767829406480,1767829406.4569376,558.0,118340.0,57631.0
1767829406480,1767829406.456953,557.0,118423.0,57665.0
1767829406480,1767829406.4569688,557.0,118325.0,57626.0
1767829406485,1767829406.4569843,557.0,118308.0,57639.0
1767829406570,1767829406.5619063,557.0,118337.0,57639.0
1767829406570,1767829406.5619218,559.0,118319.0,57624.0
1767829406570,1767829406.5619376,558.0,118322.0,57637.0
1767829406570,1767829406.561953,558.0,118353.0,57643.0
1767829406570,1767829406.5619688,557.0,118330.0,57638.0
1767829406570,1767829406.5619843,557.0,118376.0,57627.0
1767829406655,1767829406.6529064,557.0,118454.0,57609.0
1767829406655,1767829406.652922,558.0,118356.0,57621.0
1767829406655,1767829406.6529377,558.0,118348.0,57618.0
1767829406655,1767829406.6529531,557.0,118315.0,57608.0
1767829406655,1767829406.652969,560.0,118404.0,57598.0
1767829406655,1767829406.6529844,557.0,118257.0,57606.0
1767829406747,1767829406.7419064,560.0,118357.0,57581.0
1767829406747,1767829406.741922,558.0,118296.0,57597.0
1767829406747,1767829406.7419376,558.0,118375.0,57583.0
1767829406747,1767829406.7419531,559.0,118328.0,57571.0
1767829406747,1767829406.7419689,558.0,118218.0,57612.0
1767829406747,1767829406.7419844,559.0,118268.0,57601.0
1767829406848,1767829406.8319063,558.0,118305.0,57641.0
1767829406848,1767829406.8319218,559.0,118264.0,57582.0
1767829406848,1767829406.8319376,558.0,118297.0,57606.0
1767829406848,1767829406.831953,557.0,118264.0,57577.0
1767829406848,1767829406.8319688,558.0,118239.0,57576.0
1767829406848,1767829406.8319843,559.0,118390.0,57599.0
1767829406942,1767829406.9379063,558.0,118346.0,57613.0
1767829406942,1767829406.9379218,558.0,118302.0,57567.0
1767829406942,1767829406.9379375,558.0,118351.0,57586.0
1767829406942,1767829406.937953,558.0,118336.0,57617.0
1767829406942,1767829406.9379687,558.0,118305.0,57608.0
1767829406942,1767829406.9379842,555.0,118305.0,57591.0
