unix_ms,lsl_unix_ts,X,Y,Z
1767829414469,1767829414.4689617,-3.02062726020813,2.579495906829834,-0.635528028011322
1767829414469,1767829414.4689808,-3.252408027648926,2.676694393157959,-0.7102959752082825
1767829414513,1767829414.5119424,-3.244931221008301,2.594449520111084,-1.1140432357788086
1767829414513,1767829414.5119617,-3.4617583751678467,2.788846492767334,-1.4056384563446045
1767829414513,1767829414.5119808,-3.222500801086426,2.766416072845459,-1.495360016822815
1767829414573,1767829414.5719423,-3.267361640930176,2.766416072845459,-1.6374192237854004
1767829414573,1767829414.5719616,-3.7159695625305176,3.155209541320801,-1.7196639776229858
1767829414573,1767829414.5719807,-3.7832608222961426,3.4318511486053467,-1.7570480108261108
1767829414621,1767829414.6189423,-4.015041828155518,3.7683072090148926,-1.5776047706604004
1767829414623,1767829414.6189616,-3.9103662967681885,4.456172943115234,-1.465452790260315
1767829414623,1767829414.6189806,-3.7084927558898926,4.882350444793701,-1.181334376335144
1767829414696,1767829414.6919422,-3.7458767890930176,4.785151958465576,-0.8673087954521179
1767829414696,1767829414.6919615,-3.4767119884490967,4.882350444793701,-0.7701104283332825
1767829414696,1767829414.6919806,-3.259884834289551,4.934688091278076,-0.7850639820098877
1767829414741,1767829414.7389424,-3.155209541320801,4.792628765106201,-0.7252495884895325
1767829414741,1767829414.7389617,-3.274838447570801,4.411312103271484,-0.3364560008049011
1767829414741,1767829414.7389808,-3.4094207286834717,4.187007904052734,-0.620574414730072
1767829414797,1767829414.7969422,-3.304745674133301,4.059902191162109,-0.6953424215316772
1767829414797,1767829414.7969615,-2.863614320755005,3.8580288887023926,-0.7850639820098877
1767829414797,1767829414.7969806,-2.878567934036255,3.6561551094055176,-0.7476800084114075
1767829414857,1767829414.8569424,-2.968289613723755,3.7309231758117676,-1.1364736557006836
1767829414857,1767829414.8569617,-2.90099835395813,3.8954126834869385,-0.9794607758522034
1767829414857,1767829414.8569808,-2.90099835395813,4.044948577880859,-0.9869375824928284
1767829414905,1767829414.9029424,-2.818753480911255,3.9402735233306885,-1.0392751693725586
