unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10,Right AUX
1767593597647,1767593597.6361876,-20.99609375,-61.5234375,-32.71484375,-39.0625,-100.5859375
1767593597647,1767593597.6400938,-18.06640625,-87.890625,-32.71484375,-30.2734375,120.1171875
1767593597654,1767593597.602125,-19.04296875,-45.41015625,-31.73828125,-30.76171875,34.1796875
1767593597654,1767593597.6060312,-24.90234375,-61.03515625,-28.80859375,-36.62109375,-239.2578125
1767593597654,1767593597.6099374,-20.01953125,-89.84375,-29.78515625,-35.64453125,-103.515625
1767593597654,1767593597.6138437,-16.11328125,-64.94140625,-33.203125,-29.296875,88.37890625
1767593597654,1767593597.61775,-20.01953125,-60.546875,-32.2265625,-24.90234375,-448.73046875
1767593597654,1767593597.6216562,-20.5078125,-62.5,-28.3203125,-27.83203125,-523.92578125
1767593597654,1767593597.6255624,-25.390625,-62.98828125,-29.78515625,-35.64453125,20.01953125
1767593597654,1767593597.6294687,-23.4375,-67.3828125,-30.2734375,-28.80859375,269.04296875
1767593597654,1767593597.633375,-24.90234375,-33.203125,-31.25,-28.80859375,134.27734375
1767593597654,1767593597.6372812,-31.25,-36.62109375,-33.203125,-40.0390625,-16.11328125
1767593597654,1767593597.6411874,-35.64453125,-85.44921875,-30.76171875,-42.48046875,-39.0625
1767593597654,1767593597.6450937,-40.0390625,-74.21875,-30.76171875,-41.015625,-4.8828125
1767593597727,1767593597.673125,-37.109375,-40.52734375,-35.15625,-38.57421875,44.43359375
1767593597727,1767593597.6770313,-35.64453125,-56.640625,-38.0859375,-38.0859375,44.921875
1767593597727,1767593597.6809375,-38.57421875,-91.30859375,-38.0859375,-40.52734375,45.8984375
1767593597727,1767593597.6848438,-36.1328125,-75.68359375,-40.0390625,-41.50390625,-55.17578125
1767593597727,1767593597.68875,-36.1328125,-63.96484375,-35.15625,-33.69140625,-119.140625
1767593597727,1767593597.6926563,-41.015625,-75.68359375,-32.2265625,-30.2734375,75.1953125
1767593597727,1767593597.6965625,-44.43359375,-103.515625,-38.57421875,-38.0859375,216.796875
1767593597727,1767593597.7004688,-49.31640625,-76.66015625,-41.015625,-35.15625,48.33984375
1767593597727,1767593597.704375,-43.45703125,-43.9453125,-37.59765625,-27.34375,-207.03125
1767593597736,1767593597.7082813,-31.25,-66.89453125,-34.1796875,-20.99609375,-116.69921875
1767593597736,1767593597.7121875,-32.71484375,-98.14453125,-40.52734375,-23.4375,34.1796875
1767593597736,1767593597.7160938,-38.0859375,-66.40625,-42.48046875,-35.15625,-93.75
1767593597786,1767593597.702125,-37.59765625,-54.6875,-36.62109375,-33.203125,-151.85546875
1767593597786,1767593597.7060313,-35.64453125,-85.9375,-36.1328125,-23.92578125,-78.61328125
1767593597786,1767593597.7099376,-34.66796875,-87.890625,-36.1328125,-24.90234375,10.7421875
1767593597786,1767593597.7138438,-33.69140625,-51.7578125,-36.1328125,-34.66796875,-143.06640625
1767593597786,1767593597.71775,-30.2734375,-76.171875,-33.69140625,-32.2265625,-266.11328125
1767593597786,1767593597.7216563,-32.2265625,-98.14453125,-30.76171875,-22.94921875,-58.10546875
1767593597786,1767593597.7255626,-33.203125,-71.2890625,-32.71484375,-22.94921875,125.9765625
1767593597786,1767593597.7294688,-13.671875,-63.4765625,-24.90234375,-11.23046875,45.8984375
1767593597786,1767593597.733375,-8.30078125,-66.40625,-22.94921875,-21.484375,-45.8984375
1767593597786,1767593597.7372813,-25.390625,-62.01171875,-33.69140625,-40.52734375,-83.49609375
1767593597786,1767593597.7411876,-31.25,-39.55078125,-32.71484375,-37.59765625,-74.21875
1767593597786,1767593597.7450938,-36.1328125,-30.76171875,-35.64453125,-40.52734375,-109.375
1767593597830,1767593597.739125,-36.62109375,-44.43359375,-44.921875,-46.38671875,-188.96484375
1767593597830,1767593597.7430313,-32.2265625,-76.66015625,-46.875,-44.921875,-75.68359375
1767593597830,1767593597.7469375,-31.73828125,-127.44140625,-50.29296875,-34.1796875,273.4375
1767593597830,1767593597.7508438,-34.66796875,-70.80078125,-57.6171875,-39.0625,328.125
1767593597830,1767593597.75475,-41.50390625,14.6484375,-59.5703125,-61.5234375,-43.9453125
1767593597830,1767593597.7586563,-46.38671875,-44.921875,-58.10546875,-63.4765625,-46.875
1767593597830,1767593597.7625625,-49.31640625,-50.29296875,-59.08203125,-55.6640625,-41.9921875
1767593597830,1767593597.7664688,-45.41015625,-6.34765625,-62.5,-55.17578125,-248.046875
1767593597830,1767593597.770375,-43.45703125,-39.0625,-65.4296875,-58.10546875,-284.66796875
1767593597830,1767593597.7742813,-38.57421875,-111.81640625,-63.96484375,-50.29296875,-18.5546875
1767593597830,1767593597.7781875,-31.73828125,-121.58203125,-57.6171875,-30.76171875,325.1953125
1767593597830,1767593597.7820938,-30.76171875,-25.390625,-62.01171875,-32.2265625,217.28515625
1767593597876,1767593597.823125,-27.83203125,2.44140625,-67.87109375,-47.36328125,-160.15625
1767593597876,1767593597.8270311,-36.1328125,-51.7578125,-65.4296875,-54.19921875,-56.15234375
1767593597876,1767593597.8309374,-37.59765625,-38.0859375,-63.4765625,-52.24609375,20.99609375
1767593597876,1767593597.8348436,-22.4609375,-26.3671875,-58.10546875,-40.0390625,-123.046875
1767593597876,1767593597.83875,-22.4609375,-69.82421875,-53.22265625,-46.875,-66.40625
1767593597877,1767593597.8426561,-23.92578125,-96.19140625,-50.78125,-54.19921875,-23.92578125
1767593597878,1767593597.8465624,-16.6015625,-58.10546875,-52.734375,-45.8984375,-40.52734375
1767593597878,1767593597.8504686,-20.5078125,-39.0625,-52.24609375,-39.55078125,55.17578125
1767593597878,1767593597.854375,-27.34375,-51.26953125,-52.734375,-41.50390625,79.58984375
1767593597878,1767593597.8582811,-23.4375,-49.31640625,-49.31640625,-46.38671875,-36.62109375
1767593597878,1767593597.8621874,-23.4375,-36.62109375,-46.38671875,-43.9453125,-182.6171875
1767593597878,1767593597.8660936,-21.484375,-46.38671875,-53.7109375,-37.109375,-201.171875
1767593597903,1767593597.853125,-11.23046875,-68.359375,-54.19921875,-25.390625,-27.34375
1767593597903,1767593597.8570313,-8.7890625,-39.55078125,-49.31640625,-18.06640625,-11.71875
1767593597903,1767593597.8609376,-15.625,-25.390625,-50.78125,-26.85546875,-159.1796875
1767593597903,1767593597.8648438,-14.16015625,-46.875,-52.24609375,-29.296875,-265.13671875
1767593597903,1767593597.86875,-16.6015625,-96.6796875,-52.734375,-25.87890625,-134.765625
1767593597903,1767593597.8726563,-22.94921875,-127.44140625,-51.7578125,-23.4375,366.69921875
1767593597903,1767593597.8765626,-24.4140625,-38.57421875,-55.6640625,-29.78515625,187.98828125
1767593597903,1767593597.8804688,-22.4609375,-10.7421875,-49.31640625,-33.69140625,-175.78125
1767593597903,1767593597.884375,-20.01953125,-68.359375,-43.45703125,-27.34375,71.2890625
1767593597903,1767593597.8882813,-20.99609375,-46.38671875,-51.26953125,-30.2734375,56.640625
1767593597903,1767593597.8921876,-21.484375,-50.29296875,-50.78125,-37.59765625,-169.921875
1767593597903,1767593597.8960938,-25.390625,-104.4921875,-44.921875,-36.62109375,-209.47265625
