TimeStamp,unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10
2025-12-28 21:19:06.455,1766974746455,1766974746.455,811.50183,803.44324,808.2784,809.4872
2025-12-28 21:19:06.455,1766974746455,1766974746.455,809.0842,799.41394,808.2784,805.05493
2025-12-28 21:19:06.456,1766974746456,1766974746.456,809.0842,799.41394,813.5165,809.4872
2025-12-28 21:19:06.457,1766974746457,1766974746.457,821.1722,807.47253,816.7399,819.15753
2025-12-28 21:19:06.457,1766974746457,1766974746.457,821.978,811.9048,817.5458,817.1429
2025-12-28 21:19:06.504,1766974746504,1766974746.504,819.9634,815.12823,821.978,812.71063
2025-12-28 21:19:06.505,1766974746505,1766974746.505,825.6044,806.26373,824.7985,822.381
2025-12-28 21:19:06.505,1766974746505,1766974746.505,823.1868,814.3223,823.1868,815.9341
2025-12-28 21:19:06.506,1766974746506,1766974746.506,815.5311,812.3077,823.1868,816.337
2025-12-28 21:19:06.506,1766974746506,1766974746.506,817.1429,812.71063,819.5604,818.3516
2025-12-28 21:19:06.506,1766974746506,1766974746.506,826.0073,813.1135,823.1868,820.7692
2025-12-28 21:19:06.506,1766974746506,1766974746.506,816.337,813.91943,817.1429,814.7253
2025-12-28 21:19:06.507,1766974746507,1766974746.507,809.0842,799.41394,814.7253,803.8461
2025-12-28 21:19:06.507,1766974746507,1766974746.507,805.4579,806.26373,819.15753,807.0696
2025-12-28 21:19:06.507,1766974746507,1766974746.507,813.5165,804.65204,813.91943,811.9048
2025-12-28 21:19:06.508,1766974746508,1766974746.508,799.81683,810.293,813.91943,813.5165
2025-12-28 21:19:06.508,1766974746508,1766974746.508,799.41394,807.0696,801.8315,807.8755
2025-12-28 21:19:06.600,1766974746600,1766974746.6,800.2198,801.4286,800.6227,799.41394
2025-12-28 21:19:06.601,1766974746601,1766974746.601,796.99634,796.1905,805.05493,797.3993
2025-12-28 21:19:06.601,1766974746601,1766974746.601,800.6227,799.41394,809.89014,801.02563
2025-12-28 21:19:06.602,1766974746602,1766974746.602,801.02563,801.02563,803.44324,805.4579
2025-12-28 21:19:06.602,1766974746602,1766974746.602,801.02563,796.99634,796.5934,804.2491
2025-12-28 21:19:06.602,1766974746602,1766974746.602,800.2198,792.96704,803.8461,801.4286
2025-12-28 21:19:06.602,1766974746602,1766974746.602,796.1905,790.9524,805.4579,795.38464
2025-12-28 21:19:06.603,1766974746603,1766974746.603,794.57874,787.72894,799.41394,796.1905
2025-12-28 21:19:06.603,1766974746603,1766974746.603,794.57874,791.3553,800.6227,793.36993
2025-12-28 21:19:06.603,1766974746603,1766974746.603,799.41394,792.5641,799.41394,794.9817
2025-12-28 21:19:06.603,1766974746603,1766974746.603,802.23444,788.93774,800.6227,801.02563
2025-12-28 21:19:06.603,1766974746603,1766974746.603,798.60803,786.1172,801.4286,799.81683
2025-12-28 21:19:06.636,1766974746636,1766974746.636,800.6227,792.5641,803.44324,803.0403
2025-12-28 21:19:06.637,1766974746637,1766974746.637,790.14655,789.34064,802.6374,795.38464
2025-12-28 21:19:06.637,1766974746637,1766974746.637,803.0403,803.0403,812.71063,804.65204
2025-12-28 21:19:06.637,1766974746637,1766974746.637,793.36993,805.8608,808.68134,801.02563
2025-12-28 21:19:06.637,1766974746637,1766974746.637,787.326,796.1905,799.011,793.36993
2025-12-28 21:19:06.638,1766974746638,1766974746.638,801.02563,805.4579,816.337,805.8608
2025-12-28 21:19:06.638,1766974746638,1766974746.638,793.36993,798.20514,808.68134,801.8315
2025-12-28 21:19:06.638,1766974746638,1766974746.638,794.57874,800.6227,810.293,801.02563
2025-12-28 21:19:06.639,1766974746639,1766974746.639,807.47253,806.6667,811.50183,807.47253
2025-12-28 21:19:06.639,1766974746639,1766974746.639,803.8461,799.011,799.41394,808.2784
2025-12-28 21:19:06.639,1766974746639,1766974746.639,800.2198,803.8461,809.89014,811.9048
2025-12-28 21:19:06.639,1766974746639,1766974746.639,805.8608,806.26373,817.5458,811.50183
2025-12-28 21:19:06.640,1766974746640,1766974746.64,803.44324,800.2198,806.6667,806.26373
2025-12-28 21:19:06.640,1766974746640,1766974746.64,799.81683,802.23444,804.65204,803.0403
2025-12-28 21:19:06.640,1766974746640,1766974746.64,795.78754,804.65204,807.0696,792.5641
2025-12-28 21:19:06.641,1766974746641,1766974746.641,795.78754,800.6227,803.0403,785.7143
2025-12-28 21:19:06.641,1766974746641,1766974746.641,801.4286,803.0403,809.89014,781.28204
2025-12-28 21:19:06.641,1766974746641,1766974746.641,790.14655,800.6227,803.0403,781.685
2025-12-28 21:19:06.641,1766974746641,1766974746.641,804.65204,807.8755,809.4872,788.93774
