unix_ms,rel_timestamp,frame,ipd,event,gaze_target_world_pos_x,gaze_target_world_pos_y,gaze_target_world_pos_z,gaze_target_screen_pos_x,gaze_target_screen_pos_y,gaze_target_screen_pos_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,gaze_target_distance,gaze_target_name,head_target_world_pos_x,head_target_world_pos_y,head_target_world_pos_z,head_target_screen_pos_x,head_target_screen_pos_y,head_target_screen_pos_z,head_direction_x,head_direction_y,head_direction_z,head_position_x,head_position_y,head_position_z,head_target_distance,head_target_name,gaze_head_rel_direction_x,gaze_head_rel_direction_y,gaze_head_rel_direction_z,gaze_head_angle_diff
1767829619771,0.5228252,1250,60,Eye Hit,-3.258754,1.144524,13.8,729.9808,750.1404,15.75973,-0.015018,-0.02305148,0.9996215,15.80325,NorthBuildings_NoColliders,-3.493637,2.2945,13.8,721.0969,792,15.82384,-0.02984205,0.04965216,0.9983206,-3.021421,1.508812,-1.997269,15.82384,NorthBuildings_NoColliders,0.01538875,-0.07254563,0.9972464,4.252891
1767829619788,0.5396709,1251,60,Eye Hit,-3.212439,1.064442,13.8,730.9175,747.0226,15.75381,-0.01208653,-0.02811699,0.9995316,15.80415,NorthBuildings_NoColliders,-3.471391,2.299857,13.8,721.097,792,15.82294,-0.02843779,0.04999386,0.9983446,-3.021422,1.508807,-1.996748,15.82294,NorthBuildings_NoColliders,0.01700393,-0.07791533,0.996815,4.574146
1767829619804,0.5571766,1252,60,Eye Hit,-3.212493,1.064477,13.8,730.0427,746.8662,15.75331,-0.01208629,-0.02811699,0.9995316,15.80359,NorthBuildings_NoColliders,-3.445756,2.304227,13.8,721.097,792,15.82189,-0.02681538,0.0502722,0.9983755,-3.021486,1.508826,-1.996186,15.82189,NorthBuildings_NoColliders,0.01548856,-0.07818651,0.9968184,4.571661
1767829619825,0.5779419,1253,60,Eye Hit,-3.215577,1.046854,13.8,728.4016,746.3046,15.75225,-0.01227757,-0.02922879,0.9994974,15.80311,NorthBuildings_NoColliders,-3.401071,2.301786,13.8,721.0972,792,15.81961,-0.02399035,0.05012937,0.9984546,-3.021553,1.508759,-1.995163,15.81961,NorthBuildings_NoColliders,0.01264503,-0.07915643,0.9967821,4.597723
1767829619848,0.6003513,1254,60,Eye Hit,-3.321704,1.114679,13.8,722.8528,749.7488,15.75947,-0.01897697,-0.02493604,0.9995089,15.80196,NorthBuildings_NoColliders,-3.355222,2.273742,13.8,721.0974,792,15.81624,-0.02107906,0.04836961,0.998607,-3.021831,1.508717,-1.994206,15.81624,NorthBuildings_NoColliders,0.003035417,-0.07322911,0.9973105,4.203049
1767829619872,0.6225758,1255,60,Eye Hit,-3.322041,1.11458,13.8,722.0122,750.6619,15.76086,-0.01897697,-0.02493604,0.9995089,15.8015,NorthBuildings_NoColliders,-3.332609,2.248312,13.8,721.0976,792,15.8141,-0.01963013,0.04677505,0.9987125,-3.022177,1.508607,-1.99374,15.8141,NorthBuildings_NoColliders,0.001578974,-0.07165496,0.9974282,4.110041
1767829619894,0.645977,1256,60,Eye Hit,-3.321226,1.101638,13.8,720.3672,751.3481,15.76161,-0.01889087,-0.02574004,0.9994902,15.80091,NorthBuildings_NoColliders,-3.28611,2.21587,13.8,721.0978,792,15.81089,-0.01665798,0.04474864,0.9988594,-3.022733,1.508354,-1.992852,15.81088,NorthBuildings_NoColliders,-0.001272468,-0.07047151,0.9975131,4.041668
1767829619921,0.6731586,1257,60,Eye Hit,-3.266756,1.075095,13.8,720.5587,750.4357,15.75888,-0.01540296,-0.02742914,0.9995051,15.79994,NorthBuildings_NoColliders,-3.236595,2.214218,13.8,721.098,792,15.80933,-0.013486,0.04464099,0.998912,-3.023391,1.508474,-1.992125,15.80932,NorthBuildings_NoColliders,-0.0009407764,-0.07204507,0.9974009,4.131806
1767829619943,0.6964016,1258,60,Eye Hit,-2.703822,1.988949,13.8,738.8439,782.832,15.79233,0.02027538,0.03039125,0.9993324,15.80184,NorthBuildings_NoColliders,-3.187414,2.247619,13.8,721.098,792,15.80941,-0.01032321,0.04673847,0.9988538,-3.02421,1.508711,-1.991296,15.80942,NorthBuildings_NoColliders,0.03081927,-0.01592309,0.9993981,1.987905
1767829619966,0.717741,1259,60,Eye Hit,-2.704344,1.988957,13.8,737.8653,781.6646,15.79223,0.02027562,0.03039125,0.9993324,15.80148,NorthBuildings_NoColliders,-3.160612,2.27936,13.8,721.0978,792,15.81031,-0.008594612,0.04874221,0.9987744,-3.024729,1.50873,-1.990928,15.8103,NorthBuildings_NoColliders,0.02912017,-0.01795084,0.9994147,1.960345
